origin_id,origin_name,mode,num_trips,num_routes,min_headway_secs,max_headway_secs,mean_headway_secs,median_headway_secs,mode_headway_secs,min_travel_time_secs,max_travel_time_secs,mean_travel_time_secs,median_travel_time_secs,mode_travel_time_secs
232020,Maitland Station,sydney_trains,3,2,3660,12900,8280,8280,3660,9480,9852,9690,9738,9480
214820,Marayong Station,sydney_trains,42,1,360,1800,1216,900,900,2730,3090,2835,2850,2850
200030,Martin Place Station,sydney_trains,133,3,180,1200,431,420,600,270,270,270,270,270
202010,Mascot Station,sydney_trains,123,1,300,1038,470,480,540,456,462,456,456,456
211430,Meadowbank Station,sydney_trains,72,1,384,900,799,900,900,1332,1728,1527,1548,1548
278030,Medlow Bath Station,sydney_trains,16,1,1350,7200,3600,3600,3600,7314,8250,7721,7695,7680
216010,Merrylands Station,sydney_trains,65,1,450,1890,893,900,900,2232,2628,2341,2262,2262
279821,Millthorpe Station,sydney_trains,1,1,,,,,,16710,16710,16710,16710,16710
206110,Milsons Point Station,sydney_trains,190,4,180,540,302,300,360,630,660,659,660,660
253310,Minnamurra Station,sydney_trains,15,1,1200,10860,3780,3600,3600,7152,7830,7353,7266,7218
256610,Minto Station,sydney_trains,73,2,282,1140,788,900,900,2778,3792,3177,3120,3120
222810,Miranda Station,sydney_trains,63,1,528,1800,902,900,900,2232,3096,2598,2550,2856
257510,Mittagong Station,sydney_trains,4,2,2610,18042,12884,18000,2610,5700,5982,5836,5832,5700
226410,Morisset Station,sydney_trains,29,1,1050,3660,1969,2145,1080,6840,8190,7405,7560,6840
222310,Mortdale Station,sydney_trains,72,3,210,1770,793,816,816,1374,2052,1629,1686,1902
257710,Moss Vale Station,sydney_trains,5,3,2639,18048,9659,8976,2639,6276,6689,6479,6522,6276
207910,Mount Colah Station,sydney_trains,45,1,780,1800,1292,990,900,3390,3630,3465,3390,3390
277010,Mount Druitt Station,sydney_trains,71,1,420,1020,818,900,900,2790,3420,2966,2940,2940
208010,Mount Kuring-gai Station,sydney_trains,44,1,870,1800,1301,960,900,3588,3828,3669,3588,3588
278610,Mount Victoria Station,sydney_trains,16,1,1362,5172,3359,3600,3600,7320,9030,8418,8454,8448
275610,Mulgrave Station,sydney_trains,28,1,1800,1800,1800,1800,1800,3990,4350,4115,4110,4110
23381,Murrurundi Station,sydney_trains,1,1,,,,,,16572,16572,16572,16572,16572
200040,Museum Station,sydney_trains,396,8,18,522,144,156,18,138,990,496,810,138
233310,Muswellbrook Station,sydney_trains,1,1,,,,,,13872,13872,13872,13872,13872
24481,Nambucca Heads Station,sydney_trains,2,1,16740,16740,16740,16740,16740,30060,30498,30279,30279,30060
2250772,Narara Station,sydney_trains,18,2,360,7200,3338,3600,3600,5268,6138,5696,5652,5538
220920,Narwee Station,sydney_trains,64,1,840,1080,905,900,900,1806,1830,1827,1830,1830
